ENGLISH,TÜRKÇE
workplace,iş yeri
workshop,atölye
worm,solucan
worship,tapmak
worthwhile,değerli
worthy,saygıdeğer
wrist,bilek
wage,maaş
wait,Beklemek
waiter,garson
wake,uyanmak
walk,yürümek
wall,duvar
want,istek
war,savaş
warm,ılık
warn,uyarmak
warning,uyarı
wash,yıkamak
washing,yıkama
waste,atık
watch,kol saati
water,su
wave,dalga
way,yol
we,Biz
weak,zayıf
weakness,zayıflık
wealth,varlık
wealthy,zengin
weapon,silah
wear,giymek
weather,hava durumu
web,ağ
website,İnternet sitesi
wedding,düğün
wednesday,Çarşamba
week,hafta
weekend,hafta sonu
weigh,tartmak
weight,ağırlık
welcome,Hoş geldin
well,Peki
west,Batı
western,batılı
wet,ıslak
what,Ne
whatever,Her neyse
wheel,teker
when,Ne zaman
whenever,her ne zaman
where,Neresi
whereas,halbuki
wherever,her nerede
whether,ikisinden biri
which,Hangi
while,sırasında
whisper,fısıltı
white,beyaz
who,DSÖ
whole,tüm
whom,kime
whose,kimin
why,Neden
wide,geniş
widely,geniş bir şekilde
wife,eş
wild,vahşi
wildlife,vahşi yaşam
will,irade
willing,hevesli
win,kazanç
wind,rüzgâr
window,pencere
wine,şarap
wing,kanat
winner,kazanan
winter,kış
wire,tel
wise,bilge
wish,dilek
with,ile
within,içinde
without,olmadan
witness,tanık
woman,kadın
wonder,merak etmek
wonderful,müthiş
wood,odun
wooden,ahşap
wool,yün
word,kelime
work,iş
worker,çalışan
working,çalışma
world,dünya
worldwide,Dünya çapında
worried,endişeli
worry,endişelenmek
worse,daha kötüsü
worst,en kötüsü
worth,değer
would,istemek
wound,yara
wow,Vay
wrap,dürüm
write,yazmak
writer,yazar
writing,yazı
written,yazılı
wrong,yanlış
yell,bağırmak
yield,teslim olmak
youngster,genç
yard,bahçe
yeah,Evet
year,yıl
yellow,sarı
yes,Evet
yesterday,Dün
yet,henüz
you,Sen
young,genç
your,senin
yours,seninki
yourself,kendin
youth,gençlik
zero,sıfır
zone,alan
